instance,solve_time(s)
i-ng-30-8-6-20h-18mxP-18mxC-11mxH-1mnH-20171209_00-43-54,0.00196505
i-ng-10-29-26-20h-18mxP-14mxC-11mxH-1mnH-20171209_00-43-34,0.00179291
i-ng-30-34-26-20h-8mxP-8mxC-6mxH-1mnH-20171209_00-44-04,0.00155902
i-ng-30-34-26-20h-8mxP-8mxC-6mxH-1mnH-20171209_00-44-05,0.00183892
i-ng-20-7-6-16h-13mxP-9mxC-8mxH-5mnH-20171209_00-42-48,0.0019722
i-ng-20-31-26-16h-13mxP-9mxC-8mxH-1mnH-20171209_00-42-54,0.001405
i-ng-20-25-21-12h-8mxP-8mxC-6mxH-1mnH-20171209_00-42-30,0.00151491
i-ng-30-27-21-16h-13mxP-9mxC-8mxH-1mnH-20171209_00-43-00,0.00198293
i-ng-20-1-1-12h-8mxP-8mxC-6mxH-4mnH-20171209_00-42-28,0.00217414
i-ng-0-11-11-20h-8mxP-8mxC-6mxH-1mnH-20171209_00-43-03,0.00228
i-ng-10-29-26-16h-13mxP-13mxC-8mxH-1mnH-20171209_00-42-46,0.00279284
i-ng-30-27-21-12h-3mxP-3mxC-2mxH-1mnH-20171209_00-42-31,0.00131106
i-ng-30-14-11-20h-8mxP-8mxC-6mxH-4mnH-20171209_00-43-54,0.0011251
i-ng-10-7-6-16h-8mxP-8mxC-6mxH-4mnH-20171209_00-42-40,0.00176597
i-ng-30-1-1-20h-13mxP-9mxC-8mxH-5mnH-20171209_00-43-52,0.00419998
i-ng-30-14-11-20h-13mxP-9mxC-8mxH-5mnH-20171209_00-43-55,0.00106406
i-ng-10-7-6-16h-13mxP-9mxC-8mxH-1mnH-20171209_00-42-41,0.00196099
i-ng-10-29-26-20h-18mxP-18mxC-11mxH-1mnH-20171209_00-43-33,0.00176001
i-ng-30-21-16-16h-13mxP-9mxC-8mxH-5mnH-20171209_00-42-58,0.00156593
i-ng-0-6-6-20h-18mxP-10mxC-11mxH-6mnH-20171209_00-43-03,0.002913
i-ng-10-23-21-20h-8mxP-8mxC-6mxH-4mnH-20171209_00-43-26,0.00217319
i-ng-30-8-6-16h-13mxP-13mxC-8mxH-5mnH-20171209_00-42-55,0.0028069
i-ng-20-1-1-20h-18mxP-18mxC-11mxH-1mnH-20171209_00-43-36,0.00190187
i-ng-0-6-6-20h-13mxP-9mxC-8mxH-5mnH-20171209_00-43-02,0.00257802
i-ng-10-29-26-16h-13mxP-9mxC-8mxH-5mnH-20171209_00-42-47,0.00195289
i-ng-20-13-11-20h-8mxP-8mxC-6mxH-1mnH-20171209_00-43-37,0.001647
i-ng-30-1-1-16h-8mxP-8mxC-6mxH-4mnH-20171209_00-42-54,0.00381589
i-ng-20-25-21-20h-18mxP-18mxC-11mxH-6mnH-20171209_00-43-45,0.00156093
i-ng-20-31-26-20h-13mxP-9mxC-8mxH-5mnH-20171209_00-43-49,0.00174117
i-ng-20-13-11-20h-13mxP-13mxC-8mxH-1mnH-20171209_00-43-37,0.00179815
i-ng-20-19-16-20h-13mxP-13mxC-8mxH-5mnH-20171209_00-43-40,0.00158787
i-ng-20-25-21-16h-13mxP-13mxC-8mxH-1mnH-20171209_00-42-51,0.00193191
i-ng-30-8-6-16h-13mxP-9mxC-8mxH-1mnH-20171209_00-42-55,0.00127411
i-ng-30-27-21-20h-18mxP-10mxC-11mxH-6mnH-20171209_00-44-04,0.0030179
i-ng-30-34-26-16h-13mxP-9mxC-8mxH-1mnH-20171209_00-43-01,0.00284314
i-ng-20-7-6-20h-18mxP-10mxC-11mxH-1mnH-20171209_00-43-37,0.00147009
i-ng-30-14-11-20h-13mxP-13mxC-8mxH-1mnH-20171209_00-43-55,0.00112486
i-ng-20-25-21-20h-8mxP-8mxC-6mxH-1mnH-20171209_00-43-43,0.00164413
i-ng-10-12-11-20h-18mxP-14mxC-11mxH-1mnH-20171209_00-43-22,0.00266504
i-ng-30-14-11-16h-13mxP-9mxC-8mxH-5mnH-20171209_00-42-56,0.00144506
i-ng-10-23-21-20h-8mxP-8mxC-6mxH-1mnH-20171209_00-43-26,0.00180387
i-ng-20-25-21-20h-13mxP-9mxC-8mxH-1mnH-20171209_00-43-44,0.00146794
i-ng-30-21-16-20h-13mxP-13mxC-8mxH-1mnH-20171209_00-43-57,0.00122905
i-ng-10-7-6-20h-18mxP-18mxC-11mxH-6mnH-20171209_00-43-19,0.00170207
i-ng-10-18-16-20h-18mxP-14mxC-11mxH-6mnH-20171209_00-43-25,0.00181103
i-ng-30-14-11-20h-18mxP-18mxC-11mxH-6mnH-20171209_00-43-56,0.00110817
i-ng-30-21-16-16h-13mxP-13mxC-8mxH-1mnH-20171209_00-42-57,0.00341082
i-ng-30-14-11-20h-18mxP-18mxC-11mxH-6mnH-20171209_00-43-55,0.00167418
i-ng-10-12-11-20h-18mxP-14mxC-11mxH-6mnH-20171209_00-43-22,0.00173211
i-ng-20-1-1-16h-13mxP-13mxC-8mxH-1mnH-20171209_00-42-47,0.00166893
i-ng-30-14-11-16h-13mxP-13mxC-8mxH-5mnH-20171209_00-42-56,0.00191307
i-ng-20-31-26-20h-18mxP-10mxC-11mxH-1mnH-20171209_00-43-52,941.404
i-ng-20-19-16-20h-18mxP-10mxC-11mxH-6mnH-20171209_00-43-42,0.00152302
i-ng-30-8-6-20h-13mxP-9mxC-8mxH-5mnH-20171209_00-43-53,0.00167108
i-ng-30-27-21-16h-13mxP-9mxC-8mxH-5mnH-20171209_00-43-00,0.00293088
i-ng-10-7-6-20h-8mxP-8mxC-6mxH-1mnH-20171209_00-43-19,0.00302911
i-ng-30-8-6-20h-13mxP-9mxC-8mxH-1mnH-20171209_00-43-53,0.00155187
i-ng-0-21-21-20h-18mxP-18mxC-11mxH-1mnH-20171209_00-43-11,0.00248599
i-ng-30-8-6-20h-8mxP-8mxC-6mxH-4mnH-20171209_00-43-53,0.00208592
i-ng-30-27-21-20h-13mxP-9mxC-8mxH-1mnH-20171209_00-44-01,0.00115991
i-ng-30-14-11-20h-18mxP-18mxC-11mxH-1mnH-20171209_00-43-55,0.00377107
i-ng-30-27-21-20h-13mxP-9mxC-8mxH-1mnH-20171209_00-44-02,0.00424099
i-ng-30-1-1-20h-8mxP-8mxC-6mxH-1mnH-20171209_00-43-52,0.0023098
i-ng-20-7-6-20h-8mxP-8mxC-6mxH-4mnH-20171209_00-43-36,0.00212383
i-ng-20-31-26-20h-13mxP-13mxC-8mxH-1mnH-20171209_00-43-48,0.00143194
